Sample Set,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
1,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
2,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
3,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
4,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
5,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
6,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
7,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
8,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
9,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
10,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
11,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
12,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
13,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
14,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
15,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
16,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
17,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
18,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
19,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
20,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
21,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
22,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
23,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
24,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
25,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
26,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
27,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
28,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
29,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
30,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
31,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
32,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
33,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
34,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
35,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
36,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
37,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
38,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
39,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
40,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
41,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
42,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
43,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
44,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
45,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
46,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
47,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
48,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
49,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
50,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
51,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
52,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
53,Five,Two,Nine,Four,Seven,Tree,Apple,Flower,Heart,Ball
54,Nine,Five,Seven,Two,Apple,Four,Heart,Tree,Ball,Flower
55,Seven,Nine,Apple,Five,Heart,Two,Ball,Four,Flower,Tree
56,Apple,Seven,Heart,Nine,Ball,Five,Flower,Two,Tree,Four
57,Heart,Apple,Ball,Seven,Flower,Nine,Tree,Five,Four,Two
58,Ball,Heart,Flower,Apple,Tree,Seven,Four,Nine,Two,Five
59,Flower,Ball,Tree,Heart,Four,Apple,Two,Seven,Five,Nine
60,Tree,Flower,Four,Ball,Two,Heart,Five,Apple,Nine,Seven
61,Four,Tree,Two,Flower,Five,Ball,Nine,Heart,Seven,Apple
62,Two,Four,Five,Tree,Nine,Flower,Seven,Ball,Apple,Heart
