PanellistID,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10
1,1,2,3,8,4,9,10,7,5,6
2,2,1,4,3,5,10,9,8,6,7
3,1,2,5,4,6,9,10,3,7,8
4,2,1,6,5,7,10,9,4,8,3
5,1,2,7,6,8,9,10,5,3,4
6,2,1,8,7,3,10,9,6,4,5
7,1,2,3,8,4,9,10,7,5,6
8,2,1,4,3,5,10,9,8,6,7
9,1,2,5,4,6,9,10,3,7,8
10,2,1,6,5,7,10,9,4,8,3
11,1,2,7,6,8,9,10,5,3,4
12,2,1,8,7,3,10,9,6,4,5
13,1,2,3,8,4,9,10,7,5,6
14,2,1,4,3,5,10,9,8,6,7
15,1,2,5,4,6,9,10,3,7,8
16,2,1,6,5,7,10,9,4,8,3
17,1,2,7,6,8,9,10,5,3,4
18,2,1,8,7,3,10,9,6,4,5
19,1,2,3,8,4,9,10,7,5,6
20,2,1,4,3,5,10,9,8,6,7
21,1,2,3,8,4,9,10,7,5,6
22,2,1,4,3,5,10,9,8,6,7
23,1,2,5,4,6,9,10,3,7,8
24,2,1,6,5,7,10,9,4,8,3
25,1,2,7,6,8,9,10,5,3,4
26,2,1,8,7,3,10,9,6,4,5
27,1,2,3,8,4,9,10,7,5,6
28,2,1,4,3,5,10,9,8,6,7
29,1,2,5,4,6,9,10,3,7,8
30,2,1,6,5,7,10,9,4,8,3
31,1,2,7,6,8,9,10,5,3,4
32,2,1,8,7,3,10,9,6,4,5
33,1,2,3,8,4,9,10,7,5,6
34,2,1,4,3,5,10,9,8,6,7
35,1,2,5,4,6,9,10,3,7,8
36,2,1,6,5,7,10,9,4,8,3
37,1,2,7,6,8,9,10,5,3,4
38,2,1,8,7,3,10,9,6,4,5
39,1,2,3,8,4,9,10,7,5,6
40,2,1,4,3,5,10,9,8,6,7
41,1,2,3,8,4,9,10,7,5,6
42,2,1,4,3,5,10,9,8,6,7
43,1,2,5,4,6,9,10,3,7,8
44,2,1,6,5,7,10,9,4,8,3
45,1,2,7,6,8,9,10,5,3,4
46,2,1,8,7,3,10,9,6,4,5
47,1,2,3,8,4,9,10,7,5,6
48,2,1,4,3,5,10,9,8,6,7
49,1,2,5,4,6,9,10,3,7,8
50,2,1,6,5,7,10,9,4,8,3
51,1,2,7,6,8,9,10,5,3,4
52,2,1,8,7,3,10,9,6,4,5
53,1,2,3,8,4,9,10,7,5,6
54,2,1,4,3,5,10,9,8,6,7
55,1,2,5,4,6,9,10,3,7,8
56,2,1,6,5,7,10,9,4,8,3
57,1,2,7,6,8,9,10,5,3,4
58,2,1,8,7,3,10,9,6,4,5
59,1,2,3,8,4,9,10,7,5,6
60,2,1,4,3,5,10,9,8,6,7
61,1,2,3,8,4,9,10,7,5,6
62,2,1,4,3,5,10,9,8,6,7
63,1,2,5,4,6,9,10,3,7,8
64,2,1,6,5,7,10,9,4,8,3
65,1,2,7,6,8,9,10,5,3,4
66,2,1,8,7,3,10,9,6,4,5
67,1,2,3,8,4,9,10,7,5,6
68,2,1,4,3,5,10,9,8,6,7
69,1,2,5,4,6,9,10,3,7,8
70,2,1,6,5,7,10,9,4,8,3
71,1,2,7,6,8,9,10,5,3,4
72,2,1,8,7,3,10,9,6,4,5
73,1,2,3,8,4,9,10,7,5,6
74,2,1,4,3,5,10,9,8,6,7
75,1,2,5,4,6,9,10,3,7,8
76,2,1,6,5,7,10,9,4,8,3
77,1,2,7,6,8,9,10,5,3,4
78,2,1,8,7,3,10,9,6,4,5
79,1,2,3,8,4,9,10,7,5,6
80,2,1,4,3,5,10,9,8,6,7
81,1,2,3,8,4,9,10,7,5,6
82,2,1,4,3,5,10,9,8,6,7
83,1,2,5,4,6,9,10,3,7,8
84,2,1,6,5,7,10,9,4,8,3
85,1,2,7,6,8,9,10,5,3,4
86,2,1,8,7,3,10,9,6,4,5
87,1,2,3,8,4,9,10,7,5,6
88,2,1,4,3,5,10,9,8,6,7
89,1,2,5,4,6,9,10,3,7,8
90,2,1,6,5,7,10,9,4,8,3
91,1,2,7,6,8,9,10,5,3,4
92,2,1,8,7,3,10,9,6,4,5
93,1,2,3,8,4,9,10,7,5,6
94,2,1,4,3,5,10,9,8,6,7
95,1,2,5,4,6,9,10,3,7,8
96,2,1,6,5,7,10,9,4,8,3
97,1,2,7,6,8,9,10,5,3,4
98,2,1,8,7,3,10,9,6,4,5
99,1,2,3,8,4,9,10,7,5,6
100,2,1,4,3,5,10,9,8,6,7
101,1,2,3,8,4,9,10,7,5,6
102,2,1,4,3,5,10,9,8,6,7
103,1,2,5,4,6,9,10,3,7,8
104,2,1,6,5,7,10,9,4,8,3
105,1,2,7,6,8,9,10,5,3,4
106,2,1,8,7,3,10,9,6,4,5
107,1,2,3,8,4,9,10,7,5,6
108,2,1,4,3,5,10,9,8,6,7
109,1,2,5,4,6,9,10,3,7,8
110,2,1,6,5,7,10,9,4,8,3
111,1,2,7,6,8,9,10,5,3,4
112,2,1,8,7,3,10,9,6,4,5
113,1,2,3,8,4,9,10,7,5,6
114,2,1,4,3,5,10,9,8,6,7
115,1,2,5,4,6,9,10,3,7,8
116,2,1,6,5,7,10,9,4,8,3
117,1,2,7,6,8,9,10,5,3,4
118,2,1,8,7,3,10,9,6,4,5
119,1,2,3,8,4,9,10,7,5,6
120,2,1,4,3,5,10,9,8,6,7
