ParticipantID,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Position8,Position9,Position10
1,1,5,2,4,3,6,10,7,9,8
2,2,1,3,5,4,7,6,8,10,9
3,3,2,4,1,5,8,7,9,6,10
4,4,3,5,2,1,9,8,10,7,6
5,5,4,1,3,2,10,9,6,8,7
6,3,4,2,5,1,8,9,7,10,6
7,9,10,8,6,7,4,5,3,1,2
8,10,6,9,7,8,5,1,4,2,3
9,6,7,10,8,9,1,2,5,3,4
10,7,8,6,9,10,2,3,1,4,5
11,6,10,7,9,8,1,5,2,4,3
12,7,6,8,10,9,2,1,3,5,4
13,1,5,2,4,3,6,10,7,9,8
14,2,1,3,5,4,7,6,8,10,9
15,3,2,4,1,5,8,7,9,6,10
16,4,3,5,2,1,9,8,10,7,6
17,5,4,1,3,2,10,9,6,8,7
18,3,4,2,5,1,8,9,7,10,6
19,9,10,8,6,7,4,5,3,1,2
20,10,6,9,7,8,5,1,4,2,3
21,6,7,10,8,9,1,2,5,3,4
22,7,8,6,9,10,2,3,1,4,5
23,6,10,7,9,8,1,5,2,4,3
24,7,6,8,10,9,2,1,3,5,4
25,1,5,2,4,3,6,10,7,9,8
26,2,1,3,5,4,7,6,8,10,9
27,3,2,4,1,5,8,7,9,6,10
28,4,3,5,2,1,9,8,10,7,6
29,5,4,1,3,2,10,9,6,8,7
30,3,4,2,5,1,8,9,7,10,6
31,9,10,8,6,7,4,5,3,1,2
32,10,6,9,7,8,5,1,4,2,3
33,6,7,10,8,9,1,2,5,3,4
34,7,8,6,9,10,2,3,1,4,5
35,6,10,7,9,8,1,5,2,4,3
36,7,6,8,10,9,2,1,3,5,4
37,1,5,2,4,3,6,10,7,9,8
38,2,1,3,5,4,7,6,8,10,9
39,3,2,4,1,5,8,7,9,6,10
40,4,3,5,2,1,9,8,10,7,6
41,5,4,1,3,2,10,9,6,8,7
42,3,4,2,5,1,8,9,7,10,6
43,9,10,8,6,7,4,5,3,1,2
44,10,6,9,7,8,5,1,4,2,3
45,6,7,10,8,9,1,2,5,3,4
46,7,8,6,9,10,2,3,1,4,5
47,6,10,7,9,8,1,5,2,4,3
48,7,6,8,10,9,2,1,3,5,4
49,1,5,2,4,3,6,10,7,9,8
50,2,1,3,5,4,7,6,8,10,9
51,3,2,4,1,5,8,7,9,6,10
52,4,3,5,2,1,9,8,10,7,6
53,5,4,1,3,2,10,9,6,8,7
54,3,4,2,5,1,8,9,7,10,6
55,9,10,8,6,7,4,5,3,1,2
56,10,6,9,7,8,5,1,4,2,3
57,6,7,10,8,9,1,2,5,3,4
58,7,8,6,9,10,2,3,1,4,5
59,6,10,7,9,8,1,5,2,4,3
60,7,6,8,10,9,2,1,3,5,4
61,1,5,2,4,3,6,10,7,9,8
62,2,1,3,5,4,7,6,8,10,9
63,3,2,4,1,5,8,7,9,6,10
64,4,3,5,2,1,9,8,10,7,6
65,5,4,1,3,2,10,9,6,8,7
66,3,4,2,5,1,8,9,7,10,6
67,9,10,8,6,7,4,5,3,1,2
68,10,6,9,7,8,5,1,4,2,3
69,6,7,10,8,9,1,2,5,3,4
70,7,8,6,9,10,2,3,1,4,5
71,6,10,7,9,8,1,5,2,4,3
72,7,6,8,10,9,2,1,3,5,4
73,1,5,2,4,3,6,10,7,9,8
74,2,1,3,5,4,7,6,8,10,9
75,3,2,4,1,5,8,7,9,6,10
76,4,3,5,2,1,9,8,10,7,6
77,5,4,1,3,2,10,9,6,8,7
78,3,4,2,5,1,8,9,7,10,6
79,9,10,8,6,7,4,5,3,1,2
80,10,6,9,7,8,5,1,4,2,3
81,6,7,10,8,9,1,2,5,3,4
82,7,8,6,9,10,2,3,1,4,5
83,6,10,7,9,8,1,5,2,4,3
84,7,6,8,10,9,2,1,3,5,4
85,1,5,2,4,3,6,10,7,9,8
86,2,1,3,5,4,7,6,8,10,9
87,3,2,4,1,5,8,7,9,6,10
88,4,3,5,2,1,9,8,10,7,6
89,5,4,1,3,2,10,9,6,8,7
90,3,4,2,5,1,8,9,7,10,6
91,9,10,8,6,7,4,5,3,1,2
92,10,6,9,7,8,5,1,4,2,3
93,6,7,10,8,9,1,2,5,3,4
94,7,8,6,9,10,2,3,1,4,5
95,6,10,7,9,8,1,5,2,4,3
96,7,6,8,10,9,2,1,3,5,4
97,1,5,2,4,3,6,10,7,9,8
98,2,1,3,5,4,7,6,8,10,9
99,3,2,4,1,5,8,7,9,6,10
100,4,3,5,2,1,9,8,10,7,6
101,5,4,1,3,2,10,9,6,8,7
102,3,4,2,5,1,8,9,7,10,6
103,9,10,8,6,7,4,5,3,1,2
104,10,6,9,7,8,5,1,4,2,3
105,6,7,10,8,9,1,2,5,3,4
106,7,8,6,9,10,2,3,1,4,5
107,6,10,7,9,8,1,5,2,4,3
108,7,6,8,10,9,2,1,3,5,4
109,1,5,2,4,3,6,10,7,9,8
110,2,1,3,5,4,7,6,8,10,9
111,3,2,4,1,5,8,7,9,6,10
112,4,3,5,2,1,9,8,10,7,6
113,5,4,1,3,2,10,9,6,8,7
114,3,4,2,5,1,8,9,7,10,6
115,9,10,8,6,7,4,5,3,1,2
116,10,6,9,7,8,5,1,4,2,3
117,6,7,10,8,9,1,2,5,3,4
118,7,8,6,9,10,2,3,1,4,5
119,6,10,7,9,8,1,5,2,4,3
120,7,6,8,10,9,2,1,3,5,4
