ParticipantID,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22
1,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12
2,2,1,3,22,4,21,5,20,6,19,7,18,8,17,9,16,10,15,11,14,12,13
3,3,2,4,1,5,22,6,21,7,20,8,19,9,18,10,17,11,16,12,15,13,14
4,4,3,5,2,6,1,7,22,8,21,9,20,10,19,11,18,12,17,13,16,14,15
5,5,4,6,3,7,2,8,1,9,22,10,21,11,20,12,19,13,18,14,17,15,16
6,6,5,7,4,8,3,9,2,10,1,11,22,12,21,13,20,14,19,15,18,16,17
7,7,6,8,5,9,4,10,3,11,2,12,1,13,22,14,21,15,20,16,19,17,18
8,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15,22,16,21,17,20,18,19
9,9,8,10,7,11,6,12,5,13,4,14,3,15,2,16,1,17,22,18,21,19,20
10,10,9,11,8,12,7,13,6,14,5,15,4,16,3,17,2,18,1,19,22,20,21
11,11,10,12,9,13,8,14,7,15,6,16,5,17,4,18,3,19,2,20,1,21,22
12,12,11,13,10,14,9,15,8,16,7,17,6,18,5,19,4,20,3,21,2,22,1
13,13,12,14,11,15,10,16,9,17,8,18,7,19,6,20,5,21,4,22,3,1,2
14,14,13,15,12,16,11,17,10,18,9,19,8,20,7,21,6,22,5,1,4,2,3
15,15,14,16,13,17,12,18,11,19,10,20,9,21,8,22,7,1,6,2,5,3,4
16,16,15,17,14,18,13,19,12,20,11,21,10,22,9,1,8,2,7,3,6,4,5
17,17,16,18,15,19,14,20,13,21,12,22,11,1,10,2,9,3,8,4,7,5,6
18,18,17,19,16,20,15,21,14,22,13,1,12,2,11,3,10,4,9,5,8,6,7
19,19,18,20,17,21,16,22,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
20,20,19,21,18,22,17,1,16,2,15,3,14,4,13,5,12,6,11,7,10,8,9
21,21,20,22,19,1,18,2,17,3,16,4,15,5,14,6,13,7,12,8,11,9,10
22,22,21,1,20,2,19,3,18,4,17,5,16,6,15,7,14,8,13,9,12,10,11
23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12
24,2,1,3,22,4,21,5,20,6,19,7,18,8,17,9,16,10,15,11,14,12,13
25,3,2,4,1,5,22,6,21,7,20,8,19,9,18,10,17,11,16,12,15,13,14
26,4,3,5,2,6,1,7,22,8,21,9,20,10,19,11,18,12,17,13,16,14,15
27,5,4,6,3,7,2,8,1,9,22,10,21,11,20,12,19,13,18,14,17,15,16
28,6,5,7,4,8,3,9,2,10,1,11,22,12,21,13,20,14,19,15,18,16,17
29,7,6,8,5,9,4,10,3,11,2,12,1,13,22,14,21,15,20,16,19,17,18
30,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15,22,16,21,17,20,18,19
31,9,8,10,7,11,6,12,5,13,4,14,3,15,2,16,1,17,22,18,21,19,20
32,10,9,11,8,12,7,13,6,14,5,15,4,16,3,17,2,18,1,19,22,20,21
33,11,10,12,9,13,8,14,7,15,6,16,5,17,4,18,3,19,2,20,1,21,22
34,12,11,13,10,14,9,15,8,16,7,17,6,18,5,19,4,20,3,21,2,22,1
35,13,12,14,11,15,10,16,9,17,8,18,7,19,6,20,5,21,4,22,3,1,2
36,14,13,15,12,16,11,17,10,18,9,19,8,20,7,21,6,22,5,1,4,2,3
37,15,14,16,13,17,12,18,11,19,10,20,9,21,8,22,7,1,6,2,5,3,4
38,16,15,17,14,18,13,19,12,20,11,21,10,22,9,1,8,2,7,3,6,4,5
39,17,16,18,15,19,14,20,13,21,12,22,11,1,10,2,9,3,8,4,7,5,6
40,18,17,19,16,20,15,21,14,22,13,1,12,2,11,3,10,4,9,5,8,6,7
41,19,18,20,17,21,16,22,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
42,20,19,21,18,22,17,1,16,2,15,3,14,4,13,5,12,6,11,7,10,8,9
43,21,20,22,19,1,18,2,17,3,16,4,15,5,14,6,13,7,12,8,11,9,10
44,22,21,1,20,2,19,3,18,4,17,5,16,6,15,7,14,8,13,9,12,10,11
45,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12
46,2,1,3,22,4,21,5,20,6,19,7,18,8,17,9,16,10,15,11,14,12,13
47,3,2,4,1,5,22,6,21,7,20,8,19,9,18,10,17,11,16,12,15,13,14
48,4,3,5,2,6,1,7,22,8,21,9,20,10,19,11,18,12,17,13,16,14,15
49,5,4,6,3,7,2,8,1,9,22,10,21,11,20,12,19,13,18,14,17,15,16
50,6,5,7,4,8,3,9,2,10,1,11,22,12,21,13,20,14,19,15,18,16,17
51,7,6,8,5,9,4,10,3,11,2,12,1,13,22,14,21,15,20,16,19,17,18
52,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15,22,16,21,17,20,18,19
53,9,8,10,7,11,6,12,5,13,4,14,3,15,2,16,1,17,22,18,21,19,20
54,10,9,11,8,12,7,13,6,14,5,15,4,16,3,17,2,18,1,19,22,20,21
55,11,10,12,9,13,8,14,7,15,6,16,5,17,4,18,3,19,2,20,1,21,22
56,12,11,13,10,14,9,15,8,16,7,17,6,18,5,19,4,20,3,21,2,22,1
57,13,12,14,11,15,10,16,9,17,8,18,7,19,6,20,5,21,4,22,3,1,2
58,14,13,15,12,16,11,17,10,18,9,19,8,20,7,21,6,22,5,1,4,2,3
59,15,14,16,13,17,12,18,11,19,10,20,9,21,8,22,7,1,6,2,5,3,4
60,16,15,17,14,18,13,19,12,20,11,21,10,22,9,1,8,2,7,3,6,4,5
61,17,16,18,15,19,14,20,13,21,12,22,11,1,10,2,9,3,8,4,7,5,6
62,18,17,19,16,20,15,21,14,22,13,1,12,2,11,3,10,4,9,5,8,6,7
63,19,18,20,17,21,16,22,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
64,20,19,21,18,22,17,1,16,2,15,3,14,4,13,5,12,6,11,7,10,8,9
65,21,20,22,19,1,18,2,17,3,16,4,15,5,14,6,13,7,12,8,11,9,10
66,22,21,1,20,2,19,3,18,4,17,5,16,6,15,7,14,8,13,9,12,10,11
67,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12
68,2,1,3,22,4,21,5,20,6,19,7,18,8,17,9,16,10,15,11,14,12,13
69,3,2,4,1,5,22,6,21,7,20,8,19,9,18,10,17,11,16,12,15,13,14
70,4,3,5,2,6,1,7,22,8,21,9,20,10,19,11,18,12,17,13,16,14,15
71,5,4,6,3,7,2,8,1,9,22,10,21,11,20,12,19,13,18,14,17,15,16
72,6,5,7,4,8,3,9,2,10,1,11,22,12,21,13,20,14,19,15,18,16,17
73,7,6,8,5,9,4,10,3,11,2,12,1,13,22,14,21,15,20,16,19,17,18
74,8,7,9,6,10,5,11,4,12,3,13,2,14,1,15,22,16,21,17,20,18,19
75,9,8,10,7,11,6,12,5,13,4,14,3,15,2,16,1,17,22,18,21,19,20
76,10,9,11,8,12,7,13,6,14,5,15,4,16,3,17,2,18,1,19,22,20,21
77,11,10,12,9,13,8,14,7,15,6,16,5,17,4,18,3,19,2,20,1,21,22
78,12,11,13,10,14,9,15,8,16,7,17,6,18,5,19,4,20,3,21,2,22,1
79,13,12,14,11,15,10,16,9,17,8,18,7,19,6,20,5,21,4,22,3,1,2
80,14,13,15,12,16,11,17,10,18,9,19,8,20,7,21,6,22,5,1,4,2,3
81,15,14,16,13,17,12,18,11,19,10,20,9,21,8,22,7,1,6,2,5,3,4
82,16,15,17,14,18,13,19,12,20,11,21,10,22,9,1,8,2,7,3,6,4,5
83,17,16,18,15,19,14,20,13,21,12,22,11,1,10,2,9,3,8,4,7,5,6
84,18,17,19,16,20,15,21,14,22,13,1,12,2,11,3,10,4,9,5,8,6,7
85,19,18,20,17,21,16,22,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
86,20,19,21,18,22,17,1,16,2,15,3,14,4,13,5,12,6,11,7,10,8,9
87,21,20,22,19,1,18,2,17,3,16,4,15,5,14,6,13,7,12,8,11,9,10
88,22,21,1,20,2,19,3,18,4,17,5,16,6,15,7,14,8,13,9,12,10,11
89,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12
90,2,1,3,22,4,21,5,20,6,19,7,18,8,17,9,16,10,15,11,14,12,13
91,3,2,4,1,5,22,6,21,7,20,8,19,9,18,10,17,11,16,12,15,13,14
92,4,3,5,2,6,1,7,22,8,21,9,20,10,19,11,18,12,17,13,16,14,15
93,5,4,6,3,7,2,8,1,9,22,10,21,11,20,12,19,13,18,14,17,15,16
94,6,5,7,4,8,3,9,2,10,1,11,22,12,21,13,20,14,19,15,18,16,17
